                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95311,                 1.5856,                 1.2648,                0.60485,                0.57918,                0.59856,                0.42971,                 1.0916,                 3.4341,                 1.4776,             0.00055152,             0.00055152,             0.00055152
                      2,                  1.124,                 1.1928,                 1.3674,                 0.4871,                0.62872,                0.49432,                0.30639,                 1.4601,                 3.1913,                 1.6705,              0.0010962,              0.0010962,              0.0010962
                      3,                 1.1731,                 1.2587,                 1.3778,                0.54106,                0.49924,                0.49338,                0.31595,                 1.2863,                 2.7483,                 1.6059,              0.0016299,              0.0016299,              0.0016299
                      4,                 1.1306,                 1.1809,                 1.3667,                 0.8259,                0.76355,                0.83028,                0.60539,                 1.0355,                 2.8047,                 1.4006,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.0933,                 1.0741,                 1.3252,                0.68612,                0.41778,                0.48933,                0.36751,                  1.015,                  2.952,                 1.3367,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.0307,                0.97463,                 1.2849,                0.89196,                0.85594,                0.92105,                0.72774,                0.86308,                 1.1657,                 1.2096,               0.001601,               0.001601,               0.001601
                      7,                 0.9936,                0.90967,                 1.2591,                 0.8802,                0.81516,                0.91824,                0.70673,                0.86873,                 2.1473,                 1.2227,              0.0015845,              0.0015845,              0.0015845
                      8,                0.98213,                0.87632,                 1.2587,                0.82957,                 0.7544,                0.85745,                0.66165,                0.86371,                 1.3381,                 1.2019,               0.001568,               0.001568,               0.001568
                      9,                  0.971,                0.85046,                 1.2318,                0.94098,                0.91015,                 0.9703,                0.77079,                0.77924,                0.95994,                 1.1427,              0.0015515,              0.0015515,              0.0015515
                     10,                0.95602,                0.83058,                 1.2356,                0.90989,                0.88647,                0.92694,                0.74065,                0.86386,                0.95281,                 1.1948,               0.001535,               0.001535,               0.001535
                     11,                0.93748,                0.80515,                 1.2183,                0.90338,                0.86602,                0.92696,                0.73344,                0.83183,                0.90816,                 1.1787,              0.0015185,              0.0015185,              0.0015185
                     12,                0.91033,                0.76565,                 1.2038,                0.87379,                0.87082,                0.91966,                 0.7356,                0.75892,                0.88969,                 1.1414,               0.001502,               0.001502,               0.001502
                     13,                0.87982,                0.73947,                  1.184,                0.94833,                0.93852,                0.97766,                0.79885,                0.72812,                0.72384,                 1.1055,              0.0014855,              0.0014855,              0.0014855
                     14,                0.86968,                0.74198,                 1.1797,                0.94837,                0.92865,                0.97279,                0.79288,                0.73778,                0.89743,                 1.1058,               0.001469,               0.001469,               0.001469
                     15,                0.88929,                0.72263,                 1.1987,                0.94975,                 0.9165,                 0.9764,                0.79439,                0.73175,                 1.0671,                 1.1007,              0.0014525,              0.0014525,              0.0014525
                     16,                0.87535,                0.70406,                 1.1821,                0.94086,                0.85745,                0.95761,                 0.7747,                0.73403,                 0.8317,                 1.1161,               0.001436,               0.001436,               0.001436
                     17,                0.86396,                0.68941,                 1.1607,                0.82402,                0.83927,                0.93413,                0.75621,                0.74514,                0.82255,                 1.1041,              0.0014195,              0.0014195,              0.0014195
                     18,                0.83775,                0.68356,                 1.1529,                0.96944,                0.91043,                0.97344,                0.79159,                 0.7673,                0.72916,                 1.1202,              0.0014029,              0.0014029,              0.0014029
                     19,                0.86226,                 0.6896,                 1.1774,                0.95708,                0.91878,                0.97367,                0.79411,                0.72926,                0.80895,                 1.1056,              0.0013864,              0.0013864,              0.0013864
                     20,                0.85296,                0.65769,                 1.1686,                0.95441,                0.92603,                0.97793,                0.80925,                0.68825,                0.51969,                 1.0542,              0.0013699,              0.0013699,              0.0013699
                     21,                0.83338,                0.65867,                 1.1567,                0.96566,                0.93688,                0.97876,                0.80824,                0.69776,                0.62281,                 1.0695,              0.0013534,              0.0013534,              0.0013534
                     22,                0.80881,                0.62703,                  1.138,                0.95452,                0.93359,                0.97969,                0.81773,                0.66794,                0.49751,                 1.0393,              0.0013369,              0.0013369,              0.0013369
                     23,                0.83025,                 0.6368,                 1.1486,                0.97273,                0.93345,                0.98774,                0.82455,                 0.6671,                0.49769,                 1.0394,              0.0013204,              0.0013204,              0.0013204
                     24,                0.80494,                0.61894,                 1.1343,                0.97507,                0.94254,                0.98609,                 0.8112,                0.68338,                0.60571,                 1.0507,              0.0013039,              0.0013039,              0.0013039
