                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1146,                 4.1491,                 3.9873,                0.14958,                0.31447,                0.10761,                0.02899,                 2.5858,                 14.786,                 3.6474,             0.00055152,             0.00055152,             0.00055152
                      2,                 2.4341,                 3.0384,                 3.0952,                0.29672,                0.30802,                0.22687,                0.10593,                 2.2052,                 9.4465,                 3.0509,              0.0010962,              0.0010962,              0.0010962
                      3,                 2.1242,                 2.5404,                  2.762,                0.50019,                0.40538,                0.36104,                0.18011,                 1.8924,                 4.0361,                 2.7313,              0.0016299,              0.0016299,              0.0016299
                      4,                 1.8849,                 2.1572,                 2.5234,                0.61503,                0.57902,                0.58767,                 0.3427,                  1.703,                 4.0099,                 2.4962,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.7355,                 1.9229,                 2.3536,                0.61324,                0.48584,                0.54409,                0.31995,                 1.6828,                 2.5793,                 2.4064,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.5782,                 1.6867,                 2.2012,                0.43251,                0.43933,                0.39542,                0.26284,                 1.5752,                 3.4308,                 2.2352,               0.001601,               0.001601,               0.001601
                      7,                 1.4846,                 1.5628,                 2.1066,                0.83849,                0.69817,                0.81157,                0.56953,                  1.289,                 2.2566,                  2.017,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.4217,                 1.4936,                 2.0469,                0.82039,                0.74273,                0.84195,                0.58044,                 1.2079,                 1.9039,                 1.9014,               0.001568,               0.001568,               0.001568
                      9,                 1.3393,                 1.3888,                 1.9502,                0.85071,                 0.7381,                0.86397,                0.63931,                 1.0756,                 1.7526,                 1.7663,              0.0015515,              0.0015515,              0.0015515
                     10,                  1.286,                 1.3236,                 1.9137,                0.82127,                0.77491,                0.83513,                0.57775,                 1.2713,                 1.4475,                 1.9304,               0.001535,               0.001535,               0.001535
                     11,                 1.2819,                 1.3247,                   1.89,                0.79194,                0.81216,                0.88212,                0.63207,                 1.0874,                 1.5247,                 1.7782,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.2335,                 1.2418,                 1.8338,                0.86053,                 0.8465,                0.90521,                0.68026,                 1.0347,                 1.4336,                 1.6942,               0.001502,               0.001502,               0.001502
                     13,                 1.1893,                 1.1808,                 1.7962,                0.71553,                 0.7012,                0.80952,                0.58873,                 1.0736,                 2.1161,                 1.7479,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.1539,                 1.1319,                  1.771,                0.85141,                0.85262,                0.92194,                0.69301,                0.96249,                  1.353,                 1.6595,               0.001469,               0.001469,               0.001469
                     15,                 1.1492,                 1.1625,                 1.7651,                 0.9171,                0.81949,                0.91328,                0.69254,                0.96721,                 1.1943,                 1.6213,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.1335,                 1.1078,                 1.7411,                0.88476,                0.87555,                0.93405,                0.71459,                 0.9139,                 1.2162,                 1.5932,               0.001436,               0.001436,               0.001436
                     17,                 1.0962,                 1.0695,                 1.6958,                0.87122,                0.88664,                0.92756,                0.72284,                0.89721,                  1.218,                  1.556,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.0809,                 1.0523,                 1.6788,                0.92664,                0.89649,                0.94664,                0.74229,                0.85734,                 1.6217,                 1.5061,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.0815,                 1.0451,                 1.6945,                0.88813,                0.88835,                0.93363,                0.71889,                0.88116,                 1.0765,                 1.5438,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.0729,                 1.0057,                  1.663,                0.89104,                0.85178,                0.90823,                0.71455,                0.84843,                 1.1782,                 1.4958,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.0347,                0.98445,                 1.6482,                 0.9249,                0.87235,                0.93826,                0.73176,                0.89488,                 1.2787,                 1.5366,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.0164,                0.95039,                 1.6179,                0.88221,                0.86281,                0.92839,                0.73359,                0.83153,                  1.159,                 1.4698,              0.0013369,              0.0013369,              0.0013369
