                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0011,                 2.3859,                 1.3314,                0.01933,                0.42145,                0.01464,                0.00636,                 1.7331,                    inf,                 3.3796,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.1154,                 1.3544,                 1.4006,                0.01177,                0.18706,                0.00641,                0.00256,                 2.5953,                    inf,                 5.0789,              0.0010841,              0.0010841,              0.0010841
                      3,                 1.2058,                 1.3769,                 1.4464,                 0.0014,                0.23317,                0.00086,                0.00021,                 3.9183,                    inf,                 98.565,               0.001618,               0.001618,               0.001618
                      4,                 1.2115,                  1.306,                 1.4617,                0.01778,                0.08556,                0.00509,                0.00188,                 3.0243,                 63.502,                 6.7303,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1273,                 1.1523,                 1.4036,                0.36325,                0.23066,                0.22071,                0.14864,                  1.771,                 14.681,                 2.8525,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.0942,                 1.0722,                 1.3593,                 0.7344,                0.74221,                 0.7685,                0.55975,                 1.1652,                 2.0764,                 1.9338,               0.001601,               0.001601,               0.001601
                      7,                 1.0254,                0.99638,                 1.3132,                 0.6451,                0.66474,                0.67393,                0.48287,                 1.1939,                 1.6585,                 1.6251,              0.0015845,              0.0015845,              0.0015845
                      8,                0.98532,                0.93859,                 1.2924,                0.73699,                0.61938,                0.63667,                0.48433,                 1.3416,                 1.5176,                 1.6963,               0.001568,               0.001568,               0.001568
                      9,                0.98221,                0.91091,                 1.2905,                 0.8269,                0.68075,                0.83709,                0.64281,                0.88242,                 1.3167,                  1.321,              0.0015515,              0.0015515,              0.0015515
                     10,                0.96998,                0.87354,                 1.2723,                0.80804,                0.79011,                 0.8368,                0.62192,                 1.0198,                 1.1503,                 1.4215,               0.001535,               0.001535,               0.001535
                     11,                0.93249,                0.82795,                 1.2622,                0.91591,                0.90153,                0.94541,                0.75231,                0.79369,                 0.8364,                 1.2204,              0.0015185,              0.0015185,              0.0015185
                     12,                0.93057,                0.81863,                 1.2555,                 0.9249,                0.88662,                0.95003,                0.74852,                0.82928,                0.68093,                 1.2324,               0.001502,               0.001502,               0.001502
                     13,                0.90177,                0.79399,                 1.2323,                0.94425,                0.91707,                0.96966,                0.76973,                0.82407,                0.63424,                 1.2502,              0.0014855,              0.0014855,              0.0014855
                     14,                0.88954,                0.75935,                 1.2254,                 0.7931,                 0.7366,                0.81577,                0.62279,                0.91023,                 1.2973,                 1.3522,               0.001469,               0.001469,               0.001469
                     15,                0.90093,                0.77107,                 1.2345,                0.86621,                0.78195,                  0.883,                0.69867,                0.88277,                0.79646,                 1.2669,              0.0014525,              0.0014525,              0.0014525
                     16,                0.88502,                0.71657,                 1.2117,                0.92362,                0.86225,                 0.9456,                0.75467,                0.81319,                0.59859,                 1.2041,               0.001436,               0.001436,               0.001436
                     17,                0.85005,                0.71548,                  1.209,                0.74592,                0.60369,                 0.6716,                0.50774,                 1.0189,                 1.3361,                 1.4017,              0.0014195,              0.0014195,              0.0014195
                     18,                0.87046,                0.69757,                 1.2106,                0.91436,                 0.8947,                0.95168,                0.76069,                0.77457,                0.62142,                 1.1764,              0.0014029,              0.0014029,              0.0014029
                     19,                 0.8708,                 0.7034,                 1.2148,                 0.9613,                0.89556,                 0.9684,                0.78856,                0.74096,                0.54776,                 1.1513,              0.0013864,              0.0013864,              0.0013864
                     20,                0.85985,                0.68371,                  1.203,                0.93612,                 0.9109,                0.96897,                0.77726,                 0.7558,                0.58883,                 1.1566,              0.0013699,              0.0013699,              0.0013699
                     21,                0.81952,                0.64751,                 1.1859,                0.94637,                0.87128,                0.94549,                0.76922,                 0.7705,                0.59039,                 1.1619,              0.0013534,              0.0013534,              0.0013534
                     22,                0.80954,                0.63496,                 1.1762,                0.89168,                0.87268,                0.94154,                0.76779,                0.74613,                0.64612,                 1.1522,              0.0013369,              0.0013369,              0.0013369
                     23,                0.81926,                0.63856,                 1.1771,                0.95084,                0.92057,                0.97806,                0.80873,                0.70336,                0.48336,                 1.1183,              0.0013204,              0.0013204,              0.0013204
                     24,                0.81209,                0.62783,                  1.173,                0.88641,                0.84083,                0.93379,                0.76561,                0.73943,                0.70416,                 1.1454,              0.0013039,              0.0013039,              0.0013039
                     25,                0.81112,                0.62568,                 1.1672,                0.98117,                 0.9459,                0.98822,                 0.8232,                0.69172,                0.43895,                 1.1113,              0.0012874,              0.0012874,              0.0012874
                     26,                0.79021,                0.58995,                 1.1513,                0.96404,                0.92959,                0.97483,                0.79907,                0.70868,                0.48521,                 1.1133,              0.0012709,              0.0012709,              0.0012709
                     27,                0.79077,                0.59943,                 1.1514,                0.95302,                0.92066,                0.96503,                0.80053,                0.70433,                0.51728,                 1.1167,              0.0012544,              0.0012544,              0.0012544
                     28,                0.77922,                0.57938,                 1.1455,                 0.9632,                0.94738,                0.98613,                0.82581,                0.66598,                0.48685,                 1.0936,              0.0012379,              0.0012379,              0.0012379
                     29,                0.78362,                0.59514,                 1.1464,                0.96355,                0.94285,                0.98722,                0.81879,                 0.6861,                0.41518,                 1.1026,              0.0012214,              0.0012214,              0.0012214
