                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67484,                 2.9767,                 1.2428,                0.58221,                0.46576,                0.49133,                 0.4204,                0.56674,                 1.6751,                 1.0951,              0.0033062,              0.0033062,              0.0033062
                      2,                0.59563,                 1.7092,                 1.1528,                0.47906,                0.48298,                0.46565,                0.37999,                0.67556,                 1.7923,                 1.1889,              0.0065957,              0.0065957,              0.0065957
                      3,                 0.6983,                 1.7238,                 1.2103,                0.34297,                0.16845,                0.12422,                0.08051,                 1.3465,                 3.8531,                  2.094,              0.0098413,              0.0098413,              0.0098413
                      4,                0.80774,                 1.8979,                 1.2964,                 0.3725,                0.25568,                0.22713,                0.16145,                 1.1107,                 3.0665,                 1.7918,               0.009802,               0.009802,               0.009802
                      5,                0.79202,                 1.7918,                 1.2821,                0.53495,                0.40723,                0.44034,                0.33249,                0.87658,                 1.9355,                 1.4087,               0.009802,               0.009802,               0.009802
                      6,                0.76739,                 1.6618,                 1.2612,                0.45998,                0.41482,                0.40706,                0.30886,                0.88328,                  2.038,                 1.4112,               0.009736,               0.009736,               0.009736
                      7,                0.72847,                 1.5825,                 1.2385,                 0.4821,                0.47977,                0.46213,                0.36476,                0.82279,                 1.8193,                 1.3492,                0.00967,                0.00967,                0.00967
                      8,                0.69476,                 1.5157,                 1.2226,                0.46019,                0.36065,                0.36059,                0.27771,                0.89255,                 2.2576,                  1.431,               0.009604,               0.009604,               0.009604
                      9,                0.68982,                  1.447,                 1.2186,                0.58239,                0.46699,                0.50524,                0.40793,                0.76106,                 1.7035,                 1.2883,               0.009538,               0.009538,               0.009538
                     10,                0.69283,                 1.4103,                 1.2131,                0.54609,                0.51485,                0.52485,                0.42438,                0.75535,                  1.565,                  1.293,               0.009472,               0.009472,               0.009472
                     11,                0.67145,                 1.3523,                 1.2066,                0.59776,                0.50941,                 0.5473,                0.43847,                0.72777,                 1.5672,                 1.2585,               0.009406,               0.009406,               0.009406
                     12,                0.65718,                 1.3028,                 1.1879,                 0.5996,                0.53591,                0.56645,                0.45942,                0.74364,                 1.5101,                 1.2837,                0.00934,                0.00934,                0.00934
                     13,                0.64843,                 1.2664,                 1.1846,                0.65142,                0.51011,                0.57568,                0.46991,                 0.7169,                  1.458,                 1.2482,               0.009274,               0.009274,               0.009274
                     14,                0.64407,                  1.237,                 1.1807,                0.64017,                 0.5628,                0.60654,                0.50756,                 0.6539,                 1.3408,                 1.1819,               0.009208,               0.009208,               0.009208
                     15,                0.61986,                 1.1884,                 1.1667,                0.65944,                0.55492,                0.61346,                0.50526,                0.67479,                 1.3553,                 1.2038,               0.009142,               0.009142,               0.009142
                     16,                 0.6134,                 1.1451,                 1.1643,                 0.6671,                0.57171,                0.62855,                0.52071,                0.66928,                 1.3176,                 1.1986,               0.009076,               0.009076,               0.009076
                     17,                0.60815,                 1.1381,                 1.1531,                0.64108,                0.55911,                0.60563,                0.50754,                0.65239,                 1.3803,                 1.1824,                0.00901,                0.00901,                0.00901
                     18,                0.60121,                 1.1105,                  1.145,                0.66126,                 0.5923,                0.63902,                0.53867,                0.64681,                 1.2497,                   1.17,               0.008944,               0.008944,               0.008944
                     19,                 0.5943,                 1.0968,                 1.1429,                0.64666,                0.56804,                0.62777,                0.52491,                0.64987,                 1.3181,                 1.1831,               0.008878,               0.008878,               0.008878
                     20,                0.57954,                 1.0565,                 1.1392,                0.64862,                0.53607,                0.59032,                0.49345,                0.66637,                 1.4233,                 1.2013,               0.008812,               0.008812,               0.008812
                     21,                0.58733,                 1.0587,                 1.1398,                 0.6908,                 0.5931,                0.65927,                0.55571,                0.62268,                 1.1964,                 1.1554,               0.008746,               0.008746,               0.008746
                     22,                0.57898,                 1.0208,                 1.1304,                0.69027,                 0.6264,                0.67541,                0.57089,                0.62002,                 1.1793,                 1.1529,                0.00868,                0.00868,                0.00868
                     23,                0.56274,                 0.9809,                 1.1281,                0.68694,                0.61987,                0.67096,                0.57071,                0.63208,                 1.1972,                 1.1599,               0.008614,               0.008614,               0.008614
                     24,                0.57574,                0.98552,                 1.1316,                0.68493,                0.59581,                0.65685,                0.55271,                0.63916,                 1.2085,                 1.1654,               0.008548,               0.008548,               0.008548
                     25,                0.56206,                0.97856,                 1.1198,                0.66972,                0.59308,                0.65251,                0.55063,                0.63764,                 1.2118,                 1.1734,               0.008482,               0.008482,               0.008482
                     26,                0.55332,                0.94934,                 1.1179,                0.71185,                0.62217,                0.68507,                0.58173,                 0.6064,                 1.1356,                 1.1396,               0.008416,               0.008416,               0.008416
                     27,                0.55536,                0.92339,                 1.1141,                0.70508,                0.63471,                0.68881,                 0.5886,                0.60016,                 1.1337,                 1.1341,                0.00835,                0.00835,                0.00835
                     28,                0.55422,                0.92429,                 1.1119,                0.70897,                0.61176,                0.67879,                0.58133,                0.59738,                 1.1335,                 1.1259,               0.008284,               0.008284,               0.008284
                     29,                0.54979,                0.89586,                 1.1079,                0.69108,                0.64034,                0.68708,                0.58375,                0.59494,                 1.1178,                 1.1338,               0.008218,               0.008218,               0.008218
                     30,                0.53312,                0.88556,                 1.1007,                0.74181,                0.61458,                 0.6903,                0.59424,                0.59548,                 1.1327,                 1.1385,               0.008152,               0.008152,               0.008152
                     31,                0.53462,                0.88088,                 1.1005,                0.72684,                0.62556,                0.68512,                0.58338,                0.60136,                 1.1158,                 1.1409,               0.008086,               0.008086,               0.008086
                     32,                0.52134,                0.85979,                  1.094,                0.72767,                0.63257,                0.68445,                0.58925,                0.58451,                 1.1378,                 1.1165,                0.00802,                0.00802,                0.00802
                     33,                 0.5232,                0.83743,                 1.0928,                  0.737,                0.64522,                0.69786,                0.59704,                0.58985,                  1.104,                 1.1271,               0.007954,               0.007954,               0.007954
                     34,                0.52163,                 0.8401,                 1.0901,                0.75237,                0.63105,                0.70335,                0.60656,                0.58514,                 1.0747,                  1.118,               0.007888,               0.007888,               0.007888
                     35,                0.51969,                0.82399,                 1.0904,                0.75475,                0.61989,                0.69581,                 0.5987,                0.58891,                 1.1222,                 1.1337,               0.007822,               0.007822,               0.007822
                     36,                0.51059,                0.79586,                 1.0805,                0.75297,                0.63517,                0.70476,                0.60571,                0.58677,                 1.0554,                  1.126,               0.007756,               0.007756,               0.007756
                     37,                0.50604,                0.78352,                 1.0806,                0.74184,                0.63591,                0.70384,                0.60675,                0.59128,                 1.0917,                 1.1307,                0.00769,                0.00769,                0.00769
                     38,                0.51088,                0.79384,                  1.085,                0.75064,                0.64848,                0.71072,                 0.6161,                0.57007,                   1.05,                  1.109,               0.007624,               0.007624,               0.007624
                     39,                0.50174,                0.78145,                 1.0827,                0.76885,                0.64201,                0.72106,                 0.6255,                0.56638,                 1.0335,                 1.0985,               0.007558,               0.007558,               0.007558
                     40,                0.49837,                 0.7654,                 1.0754,                0.77958,                0.64442,                0.71523,                0.61908,                0.57414,                 1.0428,                  1.115,               0.007492,               0.007492,               0.007492
                     41,                0.49777,                0.76252,                 1.0765,                 0.7579,                0.65095,                0.71883,                0.62007,                  0.573,                 1.0461,                 1.1149,               0.007426,               0.007426,               0.007426
                     42,                 0.4967,                0.74287,                 1.0669,                0.73472,                0.66857,                0.72777,                0.62657,                0.56874,                 1.0353,                 1.1104,                0.00736,                0.00736,                0.00736
                     43,                 0.4959,                0.73298,                 1.0739,                0.78116,                0.64691,                0.72189,                0.62635,                0.56753,                 1.0198,                 1.1088,               0.007294,               0.007294,               0.007294
                     44,                0.49073,                0.73084,                 1.0705,                0.74473,                0.65982,                0.71801,                0.62536,                0.56791,                 1.0273,                 1.1221,               0.007228,               0.007228,               0.007228
                     45,                0.48981,                0.72682,                 1.0708,                 0.7674,                0.65936,                0.72772,                0.62999,                 0.5634,                 1.0128,                 1.1055,               0.007162,               0.007162,               0.007162
                     46,                0.48745,                0.71506,                 1.0622,                0.76457,                0.66376,                0.73252,                0.63604,                0.55262,                0.99913,                 1.0943,               0.007096,               0.007096,               0.007096
                     47,                 0.4897,                0.70814,                 1.0631,                0.75457,                0.66543,                0.72154,                 0.6268,                0.55998,                 1.0019,                 1.1056,                0.00703,                0.00703,                0.00703
                     48,                0.48616,                0.70492,                 1.0626,                0.75952,                0.65985,                 0.7216,                0.62943,                0.54899,                      1,                 1.0881,               0.006964,               0.006964,               0.006964
                     49,                 0.4916,                0.70146,                 1.0674,                0.76696,                0.67058,                0.72645,                0.63365,                0.56142,                0.99881,                 1.1051,               0.006898,               0.006898,               0.006898
                     50,                0.47973,                0.68596,                 1.0626,                 0.7689,                0.66034,                0.72457,                0.63463,                0.55187,                0.99086,                 1.0896,               0.006832,               0.006832,               0.006832
                     51,                0.48092,                0.68712,                 1.0652,                0.76949,                 0.6702,                0.72905,                0.63534,                0.56017,                0.99635,                 1.1074,               0.006766,               0.006766,               0.006766
                     52,                0.46691,                 0.6763,                 1.0564,                0.76969,                0.67193,                0.73026,                0.63931,                0.55252,                0.99256,                 1.0984,                 0.0067,                 0.0067,                 0.0067
                     53,                0.46914,                 0.6647,                 1.0509,                0.79415,                0.66928,                0.73771,                0.64521,                0.54749,                0.98123,                 1.0909,               0.006634,               0.006634,               0.006634
                     54,                0.47724,                 0.6585,                 1.0537,                0.78002,                0.67333,                0.73445,                0.64357,                0.54154,                0.98498,                 1.0928,               0.006568,               0.006568,               0.006568
                     55,                0.46585,                0.64348,                 1.0493,                0.78031,                0.67663,                 0.7446,                0.65343,                0.53546,                0.95904,                 1.0802,               0.006502,               0.006502,               0.006502
                     56,                0.47333,                0.64936,                 1.0532,                0.77447,                0.68163,                0.74096,                0.65047,                0.53967,                0.96868,                 1.0789,               0.006436,               0.006436,               0.006436
                     57,                0.47421,                0.64916,                 1.0557,                0.78623,                0.67915,                0.74485,                0.65216,                0.54097,                 0.9681,                 1.0917,                0.00637,                0.00637,                0.00637
                     58,                0.45247,                0.61862,                 1.0432,                0.77166,                0.69182,                0.74341,                0.65191,                0.54167,                0.95915,                 1.0878,               0.006304,               0.006304,               0.006304
                     59,                0.45923,                0.62966,                 1.0463,                0.80818,                0.67174,                0.74213,                0.65276,                 0.5369,                0.96573,                 1.0876,               0.006238,               0.006238,               0.006238
                     60,                0.46184,                0.62835,                 1.0468,                 0.7958,                0.67108,                0.74353,                0.65078,                0.53611,                0.97997,                 1.0916,               0.006172,               0.006172,               0.006172
                     61,                0.45487,                0.62332,                 1.0452,                0.78344,                0.69372,                0.74927,                0.65583,                 0.5334,                0.95308,                 1.0868,               0.006106,               0.006106,               0.006106
                     62,                0.45088,                0.60328,                 1.0436,                0.78688,                0.68216,                0.74085,                0.65363,                0.53072,                0.96165,                 1.0805,                0.00604,                0.00604,                0.00604
                     63,                0.45243,                0.60635,                 1.0379,                0.79555,                0.67536,                0.74318,                0.65309,                0.54119,                0.97674,                 1.0924,               0.005974,               0.005974,               0.005974
                     64,                0.44756,                0.58639,                 1.0346,                0.78983,                0.68332,                0.75142,                0.66091,                0.53938,                0.94145,                 1.0891,               0.005908,               0.005908,               0.005908
                     65,                0.44722,                 0.5898,                 1.0348,                0.78902,                0.69208,                 0.7518,                0.66273,                 0.5322,                0.93797,                  1.087,               0.005842,               0.005842,               0.005842
                     66,                0.44433,                0.59801,                 1.0375,                0.79317,                0.68259,                0.75311,                0.66295,                0.53027,                 0.9522,                 1.0813,               0.005776,               0.005776,               0.005776
                     67,                0.43275,                0.57067,                 1.0318,                0.78519,                0.69714,                0.75275,                0.66166,                 0.5308,                0.94641,                 1.0805,                0.00571,                0.00571,                0.00571
