                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74314,                 3.0374,                 1.2697,                0.50995,                0.40645,                0.39236,                0.30823,                0.74405,                 1.9749,                 1.2367,              0.0033198,              0.0033198,              0.0033198
                      2,                0.68018,                 1.8584,                 1.2092,                0.54461,                0.33467,                0.35172,                 0.2557,                0.90389,                 2.1678,                 1.4116,              0.0066092,              0.0066092,              0.0066092
                      3,                0.82121,                 2.0121,                 1.2995,                0.28999,                0.20213,                0.12126,                0.07203,                 1.4948,                 3.5409,                 2.2471,              0.0098546,              0.0098546,              0.0098546
                      4,                0.94755,                  2.256,                 1.3927,                0.40493,                0.30866,                0.26217,                0.17569,                 1.1501,                 2.5415,                 1.6448,               0.009802,               0.009802,               0.009802
                      5,                0.89199,                 2.0578,                 1.3526,                 0.5267,                0.36123,                0.35444,                0.25688,                 1.0334,                 2.1657,                 1.5449,               0.009802,               0.009802,               0.009802
                      6,                0.85028,                 1.9317,                 1.3238,                  0.511,                0.35085,                0.36019,                0.26799,                0.97137,                 2.1617,                 1.4653,               0.009736,               0.009736,               0.009736
                      7,                0.82971,                 1.8371,                 1.3069,                0.55673,                0.41529,                0.43785,                0.32208,                0.94694,                 1.9145,                 1.4405,                0.00967,                0.00967,                0.00967
                      8,                0.79363,                 1.7456,                 1.2824,                0.54729,                 0.4642,                 0.4719,                0.35332,                0.93037,                 1.7747,                 1.4365,               0.009604,               0.009604,               0.009604
                      9,                0.78401,                 1.6797,                 1.2752,                0.51629,                0.47086,                0.47823,                0.36521,                0.88465,                 1.7188,                 1.3841,               0.009538,               0.009538,               0.009538
                     10,                0.76375,                 1.6226,                 1.2626,                0.51156,                0.44681,                0.45348,                0.34221,                0.89058,                 1.8441,                 1.3847,               0.009472,               0.009472,               0.009472
                     11,                0.74996,                  1.575,                 1.2486,                0.58962,                0.48109,                0.50976,                0.39322,                 0.8395,                 1.6508,                 1.3299,               0.009406,               0.009406,               0.009406
                     12,                0.73072,                 1.5238,                 1.2354,                0.59815,                0.51353,                0.55493,                0.43992,                 0.7986,                 1.5015,                  1.291,                0.00934,                0.00934,                0.00934
                     13,                 0.7183,                 1.4631,                 1.2274,                0.57872,                0.47956,                0.52202,                0.41052,                0.81268,                 1.6262,                 1.3124,               0.009274,               0.009274,               0.009274
